mlb: 254972 small taker BUY fills, 3809 markets (2s)
time split at 2026-07-10

== ALL   (one obs per market-side, mean small-taker fill ROI; z clustered by event)
  ()                             ROI   -0.5%  z= -1.4  n= 7402   | older  +0.3% (n=3366)  recent  -1.2% (n=4036)

== type   (one obs per market-side, mean small-taker fill ROI; z clustered by event)
  ('moneyline',)                 ROI   -1.1%  z= -2.4  n= 2758   | older  -1.0% (n=1374)  recent  -1.1% (n=1384)
  ('period',)                    ROI   -3.1%  z= -0.7  n=  116   | older  +0.0% (n=0)  recent  -3.1% (n=116)
  ('spread',)                    ROI   +0.6%  z= +0.5  n= 1212   | older  +1.1% (n=596)  recent  +0.2% (n=616)
  ('total',)                     ROI   -0.3%  z= -0.7  n= 3312   | older  +1.2% (n=1396)  recent  -1.5% (n=1916)

== price   (one obs per market-side, mean small-taker fill ROI; z clustered by event)
  ('20-40c',)                    ROI   +9.4%  z= +1.8  n=  673   | older +17.0% (n=313)  recent  +2.7% (n=360)
  ('40-50c',)                    ROI   -1.2%  z= -0.7  n= 3084   | older  +1.3% (n=1411)  recent  -3.3% (n=1673)
  ('50-60c',)                    ROI   -1.6%  z= -1.5  n= 3733   | older  -2.9% (n=1724)  recent  -0.4% (n=2009)
  ('60-80c',)                    ROI   -3.2%  z= -1.4  n=  959   | older  -5.1% (n=429)  recent  -1.6% (n=530)

== time   (one obs per market-side, mean small-taker fill ROI; z clustered by event)
  ('0-15m',)                     ROI   -0.8%  z= -1.2  n= 5543   | older  -0.9% (n=2599)  recent  -0.7% (n=2944)
  ('15-60m',)                    ROI   -0.7%  z= -1.1  n= 5951   | older  -0.1% (n=2778)  recent  -1.2% (n=3173)
  ('3-6h',)                      ROI   -1.0%  z= -1.9  n= 5973   | older  -1.1% (n=2813)  recent  -1.0% (n=3160)
  ('60-180m',)                   ROI   -2.0%  z= -4.0  n= 6312   | older  -0.4% (n=2930)  recent  -3.4% (n=3382)

== price×time   (one obs per market-side, mean small-taker fill ROI; z clustered by event)
  ('20-40c', '0-15m')            ROI   +4.8%  z= +0.7  n=  379   | older  +8.0% (n=171)  recent  +2.2% (n=208)
  ('20-40c', '15-60m')           ROI   +7.1%  z= +1.1  n=  434   | older  +8.8% (n=201)  recent  +5.6% (n=233)
  ('20-40c', '3-6h')             ROI   +6.9%  z= +1.1  n=  433   | older  +9.3% (n=187)  recent  +5.1% (n=246)
  ('20-40c', '60-180m')          ROI   -0.8%  z= -0.1  n=  472   | older  +7.3% (n=219)  recent  -7.8% (n=253)
  ('40-50c', '0-15m')            ROI   -0.9%  z= -0.4  n= 2072   | older  +0.4% (n=995)  recent  -2.1% (n=1077)
  ('40-50c', '15-60m')           ROI   -1.8%  z= -0.9  n= 2194   | older  -1.5% (n=1020)  recent  -2.1% (n=1174)
  ('40-50c', '3-6h')             ROI   -2.1%  z= -1.0  n= 2267   | older  +1.5% (n=1088)  recent  -5.3% (n=1179)
  ('40-50c', '60-180m')          ROI   -2.2%  z= -1.1  n= 2382   | older  +0.9% (n=1108)  recent  -4.9% (n=1274)
  ('50-60c', '0-15m')            ROI   -1.5%  z= -1.0  n= 2628   | older  -3.0% (n=1260)  recent  -0.2% (n=1368)
  ('50-60c', '15-60m')           ROI   -1.6%  z= -1.1  n= 2843   | older  -1.3% (n=1364)  recent  -1.9% (n=1479)
  ('50-60c', '3-6h')             ROI   -0.7%  z= -0.5  n= 2934   | older  -2.5% (n=1400)  recent  +1.0% (n=1534)
  ('50-60c', '60-180m')          ROI   -1.6%  z= -1.2  n= 3098   | older  -2.1% (n=1476)  recent  -1.2% (n=1622)
  ('60-80c', '0-15m')            ROI   -2.0%  z= -0.7  n=  601   | older  -3.9% (n=248)  recent  -0.7% (n=353)
  ('60-80c', '15-60m')           ROI   -1.9%  z= -0.7  n=  654   | older  -0.5% (n=279)  recent  -2.9% (n=375)
  ('60-80c', '3-6h')             ROI   -1.1%  z= -0.4  n=  685   | older  -4.2% (n=305)  recent  +1.3% (n=380)
  ('60-80c', '60-180m')          ROI   -1.5%  z= -0.5  n=  712   | older  -1.6% (n=301)  recent  -1.4% (n=411)

== type×time   (one obs per market-side, mean small-taker fill ROI; z clustered by event)
  ('moneyline', '0-15m')         ROI   -1.3%  z= -2.0  n= 2580   | older  -1.6% (n=1315)  recent  -1.0% (n=1265)
  ('moneyline', '15-60m')        ROI   -1.1%  z= -2.0  n= 2660   | older  -1.1% (n=1346)  recent  -1.1% (n=1314)
  ('moneyline', '3-6h')          ROI   -1.1%  z= -2.2  n= 2721   | older  -0.9% (n=1370)  recent  -1.2% (n=1351)
  ('moneyline', '60-180m')       ROI   -1.1%  z= -2.4  n= 2727   | older  -1.0% (n=1366)  recent  -1.3% (n=1361)
  ('period', '0-15m')            ROI   -1.5%  z= -0.2  n=   76   | older  +0.0% (n=0)  recent  -1.5% (n=76)
  ('period', '15-60m')           ROI   -0.2%  z= -0.0  n=   79   | older  +0.0% (n=0)  recent  -0.2% (n=79)
  ('period', '3-6h')             ROI   +8.8%  z= +1.0  n=   67   | older  +0.0% (n=0)  recent  +8.8% (n=67)
  ('period', '60-180m')          ROI   -1.0%  z= -0.1  n=   75   | older  +0.0% (n=0)  recent  -1.0% (n=75)
  ('spread', '0-15m')            ROI   -0.6%  z= -0.2  n=  676   | older  +0.3% (n=339)  recent  -1.4% (n=337)
  ('spread', '15-60m')           ROI   +1.8%  z= +0.8  n=  830   | older  +2.5% (n=426)  recent  +1.0% (n=404)
  ('spread', '3-6h')             ROI   -1.5%  z= -0.7  n=  833   | older  -2.0% (n=413)  recent  -1.1% (n=420)
  ('spread', '60-180m')          ROI   -2.4%  z= -1.2  n=  900   | older  +0.1% (n=468)  recent  -5.0% (n=432)
  ('total', '0-15m')             ROI   -0.2%  z= -0.2  n= 2208   | older  -0.2% (n=945)  recent  -0.2% (n=1263)
  ('total', '15-60m')            ROI   -1.0%  z= -1.0  n= 2380   | older  +0.1% (n=1006)  recent  -1.9% (n=1374)
