wta: 49250 small taker BUY fills, 1294 markets (1s)
time split at 2026-07-01

== ALL   (one obs per market-side, mean small-taker fill ROI; z clustered by event)
  ()                             ROI   -1.6%  z= -1.5  n= 2321   | older  -1.4% (n=1207)  recent  -1.8% (n=1114)

== type   (one obs per market-side, mean small-taker fill ROI; z clustered by event)
  ('moneyline',)                 ROI   -2.3%  z= -2.0  n= 1983   | older  -1.6% (n=1135)  recent  -3.3% (n=848)
  ('prop',)                      ROI   +2.5%  z= +0.8  n=  308   | older  +2.8% (n=72)  recent  +2.4% (n=236)

== price   (one obs per market-side, mean small-taker fill ROI; z clustered by event)
  ('20-40c',)                    ROI   +1.0%  z= +0.2  n=  714   | older  +7.5% (n=386)  recent  -6.7% (n=328)
  ('40-50c',)                    ROI   -0.2%  z= -0.1  n=  547   | older  +4.3% (n=297)  recent  -5.6% (n=250)
  ('50-60c',)                    ROI   -0.7%  z= -0.2  n=  549   | older  -3.1% (n=301)  recent  +2.3% (n=248)
  ('60-80c',)                    ROI   -2.7%  z= -1.1  n=  782   | older  -6.3% (n=415)  recent  +1.3% (n=367)
  ('80-95c',)                    ROI   +2.4%  z= +1.1  n=  336   | older  -1.7% (n=157)  recent  +6.0% (n=179)

== time   (one obs per market-side, mean small-taker fill ROI; z clustered by event)
  ('0-15m',)                     ROI   -0.6%  z= -0.4  n= 1690   | older  -1.5% (n=882)  recent  +0.3% (n=808)
  ('15-60m',)                    ROI   +0.3%  z= +0.2  n= 1633   | older  +1.6% (n=838)  recent  -1.1% (n=795)
  ('3-6h',)                      ROI   -1.5%  z= -1.1  n= 1770   | older  +0.0% (n=923)  recent  -3.2% (n=847)
  ('60-180m',)                   ROI   -0.7%  z= -0.5  n= 1922   | older  +0.6% (n=988)  recent  -2.2% (n=934)

== price×time   (one obs per market-side, mean small-taker fill ROI; z clustered by event)
  ('20-40c', '0-15m')            ROI   +5.4%  z= +0.8  n=  459   | older  +6.1% (n=254)  recent  +4.6% (n=205)
  ('20-40c', '15-60m')           ROI  +10.8%  z= +1.3  n=  382   | older +21.1% (n=209)  recent  -1.7% (n=173)
